Model#,#EM,Model,LANGKAP,PASIR,RUMPUT,VEGETASI BASAH,VEGETASI LAIN,LANGKAP_lib#,PASIR_lib#,RUMPUT_lib#,VEGETASI BASAH_lib#,VEGETASI LAIN_lib#,#pixels,%pixels
534,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_8_X944_Y890,,,,19,32,266,    0.036419
535,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_00_X1096_Y912,,,,19,33,101,    0.013828
536,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_10_X945_Y895,,,,19,34,17,    0.002328
537,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_06_X1029_Y894,,,,19,35,22,    0.003012
538,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_16_X1039_Y896,,,,19,36,78,    0.010679
539,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_17_X1045_Y897,,,,19,37,51,    0.006983
540,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_04_X1085_Y906,,,,19,38,15,    0.002054
541,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_07_X1010_Y894,,,,19,39,90,    0.012322
542,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_19_X1066_Y906,,,,19,40,138,    0.018894
543,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_11_X861_Y437,vlain_14_X878_Y839,,,,19,41,32,    0.004381
544,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_22a_X1096_Y917,,,,20,27,88,    0.012048
545,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_13_X948_Y913,,,,20,28,80,    0.010953
546,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_14_a_X993_Y897,,,,20,29,18,    0.002464
547,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_12_X946_Y900,,,,20,30,142,    0.019442
548,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_02_X1085_Y889,,,,20,31,51,    0.006983
549,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_8_X944_Y890,,,,20,32,20,    0.002738
550,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_00_X1096_Y912,,,,20,33,78,    0.010679
551,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_10_X945_Y895,,,,20,34,16,    0.002191
552,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_06_X1029_Y894,,,,20,35,12,    0.001643
553,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_16_X1039_Y896,,,,20,36,17,    0.002328
554,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_17_X1045_Y897,,,,20,37,14,    0.001917
555,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_04_X1085_Y906,,,,20,38,13,    0.001780
556,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_07_X1010_Y894,,,,20,39,19,    0.002601
557,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_19_X1066_Y906,,,,20,40,26,    0.003560
558,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_05_X1032_Y826,vlain_14_X878_Y839,,,,20,41,228,    0.031216
559,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_22a_X1096_Y917,,,,21,27,41,    0.005613
560,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_13_X948_Y913,,,,21,28,2,    0.000274
561,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_14_a_X993_Y897,,,,21,29,4,    0.000548
562,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_12_X946_Y900,,,,21,30,198,    0.027109
563,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_02_X1085_Y889,,,,21,31,9,    0.001232
564,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_8_X944_Y890,,,,21,32,24,    0.003286
565,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_00_X1096_Y912,,,,21,33,36,    0.004929
566,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_10_X945_Y895,,,,21,34,2,    0.000274
567,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_06_X1029_Y894,,,,21,35,19,    0.002601
568,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_16_X1039_Y896,,,,21,36,47,    0.006435
569,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_17_X1045_Y897,,,,21,37,19,    0.002601
570,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_04_X1085_Y906,,,,21,38,12,    0.001643
571,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_07_X1010_Y894,,,,21,39,288,    0.039431
572,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_19_X1066_Y906,,,,21,40,25,    0.003423
573,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_14_X791_Y303,vlain_14_X878_Y839,,,,21,41,266,    0.036419
574,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_22a_X1096_Y917,,,,22,27,32,    0.004381
575,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_13_X948_Y913,,,,22,28,9,    0.001232
576,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_14_a_X993_Y897,,,,22,29,7,    0.000958
577,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_12_X946_Y900,,,,22,30,19,    0.002601
578,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_02_X1085_Y889,,,,22,31,10,    0.001369
579,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_8_X944_Y890,,,,22,32,25,    0.003423
580,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_00_X1096_Y912,,,,22,33,21,    0.002875
581,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_10_X945_Y895,,,,22,34,0,0
582,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_06_X1029_Y894,,,,22,35,3,    0.000411
583,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_16_X1039_Y896,,,,22,36,22,    0.003012
584,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_17_X1045_Y897,,,,22,37,14,    0.001917
585,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_04_X1085_Y906,,,,22,38,0,0
586,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_07_X1010_Y894,,,,22,39,14,    0.001917
587,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_19_X1066_Y906,,,,22,40,20,    0.002738
588,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_03_X1106_Y868,vlain_14_X878_Y839,,,,22,41,45,    0.006161
589,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_22a_X1096_Y917,,,,23,27,19,    0.002601
590,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_13_X948_Y913,,,,23,28,9,    0.001232
591,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_14_a_X993_Y897,,,,23,29,3,    0.000411
592,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_12_X946_Y900,,,,23,30,163,    0.022317
593,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_02_X1085_Y889,,,,23,31,3,    0.000411
594,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_8_X944_Y890,,,,23,32,10,    0.001369
595,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_00_X1096_Y912,,,,23,33,10,    0.001369
596,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_10_X945_Y895,,,,23,34,12,    0.001643
597,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_06_X1029_Y894,,,,23,35,7,    0.000958
598,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_16_X1039_Y896,,,,23,36,8,    0.001095
599,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_17_X1045_Y897,,,,23,37,2,    0.000274
600,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_04_X1085_Y906,,,,23,38,2,    0.000274
601,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_07_X1010_Y894,,,,23,39,7,    0.000958
602,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_19_X1066_Y906,,,,23,40,11,    0.001506
603,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_07_X1016_Y809,vlain_14_X878_Y839,,,,23,41,35,    0.004792
604,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_22a_X1096_Y917,,,,24,27,83,    0.011364
605,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_13_X948_Y913,,,,24,28,12,    0.001643
606,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_14_a_X993_Y897,,,,24,29,4,    0.000548
607,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_12_X946_Y900,,,,24,30,56,    0.007667
608,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_02_X1085_Y889,,,,24,31,15,    0.002054
609,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_8_X944_Y890,,,,24,32,22,    0.003012
610,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_00_X1096_Y912,,,,24,33,35,    0.004792
611,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_10_X945_Y895,,,,24,34,12,    0.001643
612,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_06_X1029_Y894,,,,24,35,12,    0.001643
613,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_16_X1039_Y896,,,,24,36,29,    0.003970
614,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_17_X1045_Y897,,,,24,37,14,    0.001917
615,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_04_X1085_Y906,,,,24,38,6,    0.000821
616,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_07_X1010_Y894,,,,24,39,9,    0.001232
617,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_19_X1066_Y906,,,,24,40,20,    0.002738
618,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_02_X1064_Y859,vlain_14_X878_Y839,,,,24,41,37,    0.005066
619,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_22a_X1096_Y917,,,,25,27,28,    0.003834
620,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_13_X948_Y913,,,,25,28,2,    0.000274
621,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_14_a_X993_Y897,,,,25,29,2,    0.000274
622,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_12_X946_Y900,,,,25,30,13,    0.001780
623,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_02_X1085_Y889,,,,25,31,7,    0.000958
624,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_8_X944_Y890,,,,25,32,111,    0.015197
625,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_00_X1096_Y912,,,,25,33,72,    0.009858
626,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_10_X945_Y895,,,,25,34,4,    0.000548
627,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_06_X1029_Y894,,,,25,35,4,    0.000548
628,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_16_X1039_Y896,,,,25,36,5,    0.000685
629,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_17_X1045_Y897,,,,25,37,10,    0.001369
630,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_04_X1085_Y906,,,,25,38,9,    0.001232
631,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_07_X1010_Y894,,,,25,39,23,    0.003149
632,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_19_X1066_Y906,,,,25,40,24,    0.003286
633,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_13_X798_Y295,vlain_14_X878_Y839,,,,25,41,7,    0.000958
634,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_22a_X1096_Y917,,,,26,27,7,    0.000958
635,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_13_X948_Y913,,,,26,28,4,    0.000548
636,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_14_a_X993_Y897,,,,26,29,0,0
637,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_12_X946_Y900,,,,26,30,4,    0.000548
638,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_02_X1085_Y889,,,,26,31,1,    0.000137
639,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_8_X944_Y890,,,,26,32,5,    0.000685
640,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_00_X1096_Y912,,,,26,33,11,    0.001506
641,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_10_X945_Y895,,,,26,34,1,    0.000137
642,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_06_X1029_Y894,,,,26,35,0,0
643,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_16_X1039_Y896,,,,26,36,4,    0.000548
644,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_17_X1045_Y897,,,,26,37,0,0
645,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_04_X1085_Y906,,,,26,38,0,0
646,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_07_X1010_Y894,,,,26,39,5,    0.000685
647,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_19_X1066_Y906,,,,26,40,8,    0.001095
648,2,VEGETASI BASAH-VEGETASI LAIN,,,,vbasah_08_X1021_Y786,vlain_14_X878_Y839,,,,26,41,21,    0.002875
